|Level|Total XP|XP to next lvl
Const1: 6.9
Const2: -3.4
___________________________________________________________________________________
1 	 	 1,010 	 	 103 	 	 9.90 	 	 0.69Min
2 	 	 1,113 	 	 354 	 	 19.47 	 	 1.21Min
3 	 	 1,467 	 	 813 	 	 28.81 	 	 1.88Min
4 	 	 2,280 	 	 1,515 	 	 37.93 	 	 2.66Min
5 	 	 3,795 	 	 2,495 	 	 46.86 	 	 3.55Min
6 	 	 6,290 	 	 3,784 	 	 55.60 	 	 4.54Min
7 	 	 10,074 	 	 5,407 	 	 64.16 	 	 5.62Min
8 	 	 15,481 	 	 7,388 	 	 72.55 	 	 6.79Min
9 	 	 22,869 	 	 9,753 	 	 80.77 	 	 8.05Min
10 	 	 32,622 	 	 12,522 	 	 88.84 	 	 9.40Min
11 	 	 45,144 	 	 15,715 	 	 96.75 	 	 10.83Min
12 	 	 60,859 	 	 19,354 	 	 104.51 	 	 12.35Min
13 	 	 80,213 	 	 23,458 	 	 112.13 	 	 13.95Min
14 	 	 103,671 	 	 28,042 	 	 119.61 	 	 15.63Min
15 	 	 131,713 	 	 33,126 	 	 126.95 	 	 17.40Min
16 	 	 164,839 	 	 38,729 	 	 134.16 	 	 19.25Min
17 	 	 203,568 	 	 44,862 	 	 141.24 	 	 21.18Min
18 	 	 248,430 	 	 51,546 	 	 148.20 	 	 23.19Min
19 	 	 299,976 	 	 58,794 	 	 155.03 	 	 25.28Min
20 	 	 358,770 	 	 66,622 	 	 161.75 	 	 27.46Min
21 	 	 425,392 	 	 75,043 	 	 168.35 	 	 29.72Min
22 	 	 500,435 	 	 84,073 	 	 174.84 	 	 32.06Min
23 	 	 584,508 	 	 93,726 	 	 181.22 	 	 34.48Min
24 	 	 678,234 	 	 104,016 	 	 187.49 	 	 36.98Min
25 	 	 782,250 	 	 114,953 	 	 193.66 	 	 39.57Min
26 	 	 897,203 	 	 126,555 	 	 199.73 	 	 42.24Min
27 	 	 1,023,758 	 	 138,832 	 	 205.71 	 	 44.99Min
